gvkey,conm,ticker,industry,latest_observed_date,risk_window,pred_risk_5y
050791,SKY QUARRY INC,SKYQ,Petroleum Refining,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.9315326690673829
018549,CLEARONE INC,CLRO,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.8304890632629395
024310,RENX ENTERPRISES CORP,RENX,Real Estate,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.8199870824813843
040723,AMERICAN REBEL HOLDINGS INC,AREB,Furniture & Fixtures,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.8193999409675599
065430,CHILDRENS PLACE INC,PLCE,Apparel Retail,2026-01-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.8162790179252625
039436,URGENT.LY INC,ULYX,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.8137908458709717
031418,PROPHASE LABS INC,PRPH,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.8134658217430115
027574,TPI COMPOSITES INC,TPICQ,Industrial Machinery & Computers,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.807528269290924
177981,SINTX TECHNOLOGIES INC,SINT,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7966373443603516
022879,GREENPRO CAPITAL CORP,GRNQ,Engineering & Management Services,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7928672790527344
345920,HYDROFARM HLDNG GP INC,HYFM,Industrial Machinery & Computers,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7905174374580384
062302,SPAR GROUP INC,SGRP,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7901617407798767
037490,LUMINAR TECHNOLOGIES INC,LAZRQ,Transportation Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7885649561882019
328080,SMX (SECURITY MATTERS) PLC,SMX,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7858493328094482
026028,EMPIRE PETROLEUM CORP,EP,Oil & Gas Extraction,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7782031416893005
042847,INTERACTIVE STRENGTH INC,TRNR,Misc Manufacturing,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.773978328704834
036519,IM CANNABIS CORP,IMCC,,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7716714024543763
041474,NEWTON GOLF COMPANY INC,NWTG,Misc Manufacturing,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7716714024543763
024598,BIOCARDIA INC,BCDA,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7627640843391419
271987,NUWELLIS INC,NUWE,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7619356751441956
043935,HEALTHY CHOICE WELLNESS CORP,HCWC,Food Stores,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7583425879478455
325212,BRENMILLER ENERGY LTD,BNRG,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7579665303230285
026630,REALLOYS INC,ALOY,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7542148470878601
038242,LONGEVITY HEALTH HLDINGS INC,XAGE,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7500851094722748
060801,SOCKET MOBILE INC,SCKT,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7490174412727356
063446,AINOS INC,AIMD,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7468147873878479
041636,CALIBERCOS INC,CWD,Security Brokers & Dealers,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7459149181842804
034382,AVALON GLOBOCARE CORP,ALBT,Real Estate,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7453639507293701
165286,APPTECH PAYMENTS CORP,APCX,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.743010425567627
040601,HWH INTERNATIONAL INC,HWH,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7417085289955139
026356,ARTELO BIOSCIENCES INC,ARTL,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7408930659294128
037819,ALLURION TECHNOLOGIES INC,ALUR,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7396729588508606
012377,RESEARCH FRONTIERS INC,REFR,Engineering & Management Services,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7392982244491577
038089,BETTER HOME & FINANCE HLG CO,BETR,Non-Depository Credit,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.739146602153778
041686,SNAIL INC,SNAL,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.738104271888733
043541,IMPACT BIOMEDICAL INC,IBO,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.73775794506073
038030,ENVOY MEDICAL INC,COCH,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7369921565055847
164293,STRATA SKIN SCIENCES INC,SSKN,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7366242647171021
042984,AZITRA INC,AZTR,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7345703125
025447,SKYX PLATFORMS CORP,SKYX,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7341008186340332
034645,GIFTIFY INC,GIFT,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7301520705223083
040428,AMAZE HOLDINGS INC,AMZE,Food & Kindred Products,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7293395400047302
025105,PRESURANCE HOLDINGS INC,PRHI,Insurance Carriers,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.72763232588768
038109,GROVE COLLABORATIVE HLDG INC,GROV,Misc Retail,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.72763232588768
138341,CURIS INC,CRIS,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7258006453514099
043758,OS THERAPIES INC,OSTX,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7257725596427917
038537,INSPIRA TECH OXY BHN LTD,IINN,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7247379899024964
040235,NEW ERA ENERGY & DIGITAL INC,NUAI,Oil & Gas Extraction,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7239213943481445
166460,ASCENT SOLAR TECH INC,ASTI,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7237593531608582
041176,BIOAFFINITY TECHNOLOGIES INC,BIAF,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7222110271453858
035210,ATERIAN INC,ATER,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7190098404884339
039160,ENSYSCE BIOSCIENCES INC,ENSC,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.718068516254425
039903,GCT SEMICONDUCTOR HOLDNG INC,GCTS,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7172825694084167
031848,AVENUE THERAPEUTICS INC,ATXI,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.714753246307373
023098,ARCADIA BIOSCIENCES INC,RKDA,Crops,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.7139603972434998
